playerID,"CONCAT(Player.nameFirst, ' ', Player.nameLast)",birthCountry,max_salary,teamID
aquinlu01,"Luis Aquino",P.R.,735000,KCA
archech01,"Chris Archer",USA,1166667,TBA
arciaos01,"Oswaldo Arcia",Venezuela,532500,MIN
ardoida01,"Danny Ardoin",USA,335000,COL
arenano01,"Nolan Arenado",USA,512500,COL
arencjp01,"J. P. Arencibia",USA,1800000,TOR
ariasal01,"Alex Arias",USA,625000,FLO
ariasal02,"Alberto Arias",D.R.,439500,HOU
ariasge01,"George Arias",USA,215000,CAL
ariasjo01,"Joaquin Arias",D.R.,1450000,TEX
armasto01,"Tony Armas",Venezuela,1000000,BOS
armasto02,"Tony Armas",Venezuela,3000000,MON
armstja01,"Jack Armstrong",USA,1150000,CIN
arnolto01,"Tony Arnold",USA,62500,BAL
arnsbbr01,"Brad Arnsberg",USA,287500,NYA
arochre01,"Rene Arocha",Cuba,195000,SLN
arredjo01,"Jose Arredondo",D.R.,800000,LAA
arrieja01,"Jake Arrieta",USA,3630000,BAL
arrojro01,"Rolando Arrojo",Cuba,1900000,TBA
arroybr01,"Bronson Arroyo",USA,16445535,PIT
ascanjo01,"Jose Ascanio",Venezuela,416000,PIT
ascheco01,"Cody Asche",USA,517500,PHI
asencmi01,"Miguel Asencio",D.R.,350000,KCA
ashbyal01,"Alan Ashby",USA,575000,HOU
ashbyan01,"Andy Ashby",USA,8500000,PHI
ashlebi01,"Billy Ashley",USA,275000,LAN
assenpa01,"Paul Assenmacher",USA,2665333,ATL
astacpe01,"Pedro Astacio",D.R.,7000000,LAN
atchisc01,"Scott Atchison",USA,900000,SEA
atherke01,"Keith Atherton",USA,345000,OAK
atkinga01,"Garrett Atkins",USA,7050000,COL
augenbr01,"Bryan Augenstein",USA,414000,SLN
augusdo01,"Don August",USA,170000,ML4
aumonph01,"Phillippe Aumont",CAN,500000,PHI
aurilri01,"Rich Aurilia",USA,6250000,SFN
ausanjo01,"Joe Ausanio",USA,110000,NYA
ausmubr01,"Brad Ausmus",USA,5500000,SDN
austije01,"Jeff Austin",USA,205000,KCA
austiji02,"Jim Austin",USA,150000,ML4
avenbr01,"Bruce Aven",USA,320000,FLO
averyst01,"Steve Avery",USA,4850000,ATL
avilaal01,"Alex Avila",USA,5400000,DET
avilalu01,"Luis Avilan",Venezuela,530000,ATL
avilemi01,"Mike Aviles",USA,3500000,KCA
axelrdy01,"Dylan Axelrod",USA,493000,CHA
axforjo01,"John Axford",CAN,5000000,MIL
ayalabe01,"Benny Ayala",P.R.,303333,CLE
ayalabo01,"Bobby Ayala",USA,1800000,CIN
ayalalu01,"Luis Ayala",Mexico,1700000,MON
aybarer01,"Erick Aybar",D.R.,8750000,LAA
aybarma01,"Manny Aybar",D.R.,665000,SLN
aybarwi01,"Willy Aybar",D.R.,1350000,ATL
ayraubo01,"Bob Ayrault",USA,125000,PHI
azocaos01,"Oscar Azocar",Venezuela,120000,SDN
backebr01,"Brandon Backe",USA,1550000,HOU
backmwa01,"Wally Backman",USA,750000,NYN
bacsimi02,"Mike Bacsik",USA,302500,NYN
badenbu01,"Burke Badenhop",USA,2150000,FLO
baekch01,"Cha-Seung Baek","South Korea",429900,SEA
baergca01,"Carlos Baerga",P.R.,4750000,CLE
baezbe01,"Benito Baez",D.R.,202000,FLO
baezda01,"Danys Baez",Cuba,7166666,CLE
baezpe01,"Pedro Baez",D.R.,512500,LAN
bagweje01,"Jeff Bagwell",USA,19369019,HOU
bailean01,"Andrew Bailey",USA,4100000,OAK
baileco01,"Cory Bailey",USA,320000,SLN
baileho02,"Homer Bailey",USA,10000000,CIN
bailema01,"Mark Bailey",USA,100000,HOU
bailero01,"Roger Bailey",USA,355000,COL
bailesc01,"Scott Bailes",USA,600000,CLE
bailobo01,"Bob Bailor",USA,375000,LAN
baineha01,"Harold Baines",USA,2000000,CHA
bairdo01,"Doug Bair",USA,325000,OAK
bakerdo01,"Doug Baker",USA,115000,MIN
bakerdu01,"Dusty Baker",USA,575000,OAK
bakerje03,"Jeff Baker",Germany,2100000,COL
bakerjo01,"John Baker",USA,930000,FLO
bakersc02,"Scott Baker",USA,6500000,MIN
bakopa01,"Paul Bako",USA,900000,DET
balbost01,"Steve Balboni",USA,900000,KCA
