playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
aardsda01,331,4,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
aaronha01,3298,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,32,21,121,328
aaronto01,437,944,102,216,42,6,13,94,9,8,86,145,3,0,9,6,36
aasedo01,448,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
abadan01,15,21,1,2,0,0,0,0,0,1,4,5,0,0,0,0,1
abadfe01,258,8,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1
abadijo01,12,49,4,11,0,0,0,5,1,0,0,3,0,0,0,0,0
abbated01,855,3044,355,772,99,43,11,324,142,0,289,16,0,33,93,0,0
abbeybe01,79,225,21,38,3,3,0,17,3,0,21,54,0,0,4,0,0
abbeych01,451,1751,307,492,67,46,19,280,93,0,167,105,0,23,18,0,0
abbotda01,3,7,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
abbotfr01,160,513,48,107,21,6,1,49,14,0,19,0,0,8,20,0,0
abbotgl01,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotje01,233,596,82,157,33,2,18,83,6,5,38,91,2,3,5,7,12
abbotji01,263,21,0,2,0,0,0,3,0,0,0,10,0,0,3,0,1
abbotku01,702,2044,273,523,109,23,62,242,22,11,133,571,11,17,21,12,37
abbotky01,57,31,2,3,1,0,0,2,0,0,1,19,0,0,6,0,0
abbotod01,22,70,2,13,2,1,0,6,3,0,6,20,0,0,6,0,0
abbotpa01,162,20,2,5,1,0,0,2,0,0,0,6,0,0,5,0,0
aberal01,168,100,5,14,0,0,0,6,0,0,8,41,0,0,8,1,2
abercda01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abercre01,180,386,65,86,20,2,9,34,18,8,21,123,2,7,5,2,3
abernbi01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abernbr01,232,868,97,212,36,5,8,79,21,7,60,93,1,7,16,4,15
abernte01,7,5,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0
abernte02,681,181,12,25,3,0,0,9,0,0,6,74,0,2,15,0,4
abernwo01,16,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
aberscl01,63,179,25,45,7,3,5,26,0,0,25,44,0,0,0,0,6
ablesha01,14,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abnersh01,392,840,89,191,39,4,11,71,6,8,43,153,10,7,5,7,14
abramca01,567,1611,257,433,64,19,32,138,12,18,304,290,2,7,16,4,22
abramge01,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
abregjo01,6,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
abreubo01,2425,8480,1453,2470,574,59,288,1363,400,128,1476,1840,115,33,7,85,165
abreujo01,9,28,4,6,1,0,1,3,0,0,4,4,0,0,0,0,1
abreujo02,299,1169,168,354,69,5,66,208,3,1,90,271,26,26,0,5,30
abreuju01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreuto01,224,579,61,147,39,6,6,60,2,4,22,116,2,5,1,8,20
abreuwi01,38,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abstebi01,170,619,54,150,22,10,1,76,21,0,29,0,0,4,29,0,0
accarje01,262,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
aceveal01,204,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
acevejo01,104,101,2,8,2,0,0,4,0,0,5,61,0,1,12,1,2
aceveju01,367,65,4,6,2,0,0,0,0,0,3,33,0,0,6,0,2
achteaj01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ackerji01,467,54,2,9,1,0,0,1,0,0,2,32,0,0,0,0,1
ackerto01,153,77,10,5,0,0,0,2,0,0,12,46,0,1,6,0,1
ackledu01,607,2064,255,503,94,18,46,212,31,12,186,410,10,5,11,11,25
acklefr01,5,6,0,2,1,0,0,1,0,0,1,4,0,0,0,0,0
acostcy01,107,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
acosted01,57,29,1,1,0,0,0,0,0,0,1,15,0,0,0,0,0
acostjo01,55,60,4,9,1,0,0,1,1,0,11,22,0,0,3,0,0
acostma01,233,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
acostme01,180,436,56,111,9,7,0,37,17,8,63,46,0,4,19,0,0
acrema01,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adairje01,1165,4019,378,1022,163,19,57,366,29,29,208,499,31,17,41,30,149
adairji01,18,76,9,21,3,1,0,3,1,0,1,8,0,0,2,0,0
adamecr01,33,68,5,14,1,1,0,3,0,1,3,16,1,1,1,0,1
adamsac01,302,99,9,12,0,0,0,2,0,0,6,14,0,0,8,0,2
adamsau01,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
adamsba01,482,1019,79,216,31,15,3,75,1,1,53,177,0,1,35,0,0
adamsbe01,267,678,37,137,17,4,2,45,9,0,23,79,0,1,23,0,0
adamsbo01,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsbo02,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsbo03,1281,4019,591,1082,188,49,37,303,67,30,414,447,1,17,78,5,62
adamsbo04,15,24,2,6,1,0,2,2,0,0,0,5,0,0,0,0,0
adamsbu01,576,2003,282,532,96,12,50,249,12,0,234,281,0,13,42,0,35
adamsda01,47,55,1,8,0,0,1,3,0,0,3,18,0,0,1,0,0
